epoc_time,date_time,distance,velocity
1456267903879,2016-02-23T22:51:43.879Z,2.0148479696,0
1456267904140,2016-02-23T22:51:44.140Z,6.83364154187,0.24
1456267904449,2016-02-23T22:51:44.449Z,2.19513296682,0.24
1456267904938,2016-02-23T22:51:44.938Z,2.0148479696,0
1456267905151,2016-02-23T22:51:45.151Z,5.72965135272,0.24
1456267905455,2016-02-23T22:51:45.455Z,2.19513296682,0.24
1456267905889,2016-02-23T22:51:45.889Z,2.0148479696,0
1456267906168,2016-02-23T22:51:46.168Z,5.97586410528,0.24
1456267906443,2016-02-23T22:51:46.443Z,2.19513296682,0.14
1456267906929,2016-02-23T22:51:46.929Z,2.0148479696,0
1456267907131,2016-02-23T22:51:47.131Z,5.72965135272,0.25
1456267907458,2016-02-23T22:51:47.458Z,3.77198158101,0.24
1456267907939,2016-02-23T22:51:47.939Z,2.0148479696,0
1456267908140,2016-02-23T22:51:48.140Z,5.11851116272,0.24
1456267908446,2016-02-23T22:51:48.446Z,3.77198158101,0.24
1456267908901,2016-02-23T22:51:48.901Z,2.0148479696,0
1456267909159,2016-02-23T22:51:49.159Z,4.88279627936,0.24
1456267909487,2016-02-23T22:51:49.487Z,3.93291864217,0.23
1456267909896,2016-02-23T22:51:49.896Z,2.0148479696,0
1456267910128,2016-02-23T22:51:50.128Z,4.88279627936,0.25
1456267910935,2016-02-23T22:51:50.935Z,2.0148479696,0
1456267911128,2016-02-23T22:51:51.128Z,4.88279627936,0.24
1456267910452,2016-02-23T22:51:50.452Z,3.93291864217,0.25
1456267911450,2016-02-23T22:51:51.450Z,3.17775029648,0.24
1456267911926,2016-02-23T22:51:51.926Z,2.0148479696,0
1456267912139,2016-02-23T22:51:52.139Z,5.20400840738,0.24
1456267912444,2016-02-23T22:51:52.444Z,3.77198158101,0.24
1456267912908,2016-02-23T22:51:52.908Z,2.0148479696,0
1456267913124,2016-02-23T22:51:53.124Z,5.20400840738,0.24
1456267913435,2016-02-23T22:51:53.435Z,3.77198158101,0.24
1456267913940,2016-02-23T22:51:53.940Z,2.0148479696,0
1456267914139,2016-02-23T22:51:54.139Z,5.20400840738,0.24
1456267914464,2016-02-23T22:51:54.464Z,2.19513296682,0.23
1456267914923,2016-02-23T22:51:54.923Z,1.6399269622,0.24
1456267915135,2016-02-23T22:51:55.135Z,5.60815973411,0.24
1456267915453,2016-02-23T22:51:55.453Z,2.6848375825,0.24
1456267915907,2016-02-23T22:51:55.907Z,1.6399269622,0.24
1456267916130,2016-02-23T22:51:56.130Z,4.78005194814,0.24
1456267916459,2016-02-23T22:51:56.459Z,2.6848375825,0.24
1456267916926,2016-02-23T22:51:56.926Z,1.89185214637,0.24
1456267917137,2016-02-23T22:51:57.137Z,4.78005194814,0.24
1456267917468,2016-02-23T22:51:57.468Z,2.6848375825,0.23
1456267917911,2016-02-23T22:51:57.911Z,1.89185214637,0.24
1456267918137,2016-02-23T22:51:58.137Z,5.20849160809,0.24
1456267918463,2016-02-23T22:51:58.463Z,2.19513296682,0.24
1456267918905,2016-02-23T22:51:58.905Z,2.10934976781,0.24
1456267919128,2016-02-23T22:51:59.128Z,5.72965135272,0.24
1456267919430,2016-02-23T22:51:59.430Z,2.19513296682,0.25
1456267919934,2016-02-23T22:51:59.934Z,2.31064937741,0.23
1456267920154,2016-02-23T22:52:00.154Z,4.84473400782,0.23
1456267920461,2016-02-23T22:52:00.461Z,3.47535680809,0.23
1456267920909,2016-02-23T22:52:00.909Z,1.89185214637,0.25
1456267921136,2016-02-23T22:52:01.136Z,4.84473400782,0.24
1456267921434,2016-02-23T22:52:01.434Z,3.47535680809,0.25
1456267921932,2016-02-23T22:52:01.932Z,1.89185214637,0.17
1456267922151,2016-02-23T22:52:02.151Z,5.32547574483,0.24
1456267922453,2016-02-23T22:52:02.453Z,2.6848375825,0.24
1456267922929,2016-02-23T22:52:02.929Z,1.89185214637,0
